"id","name","id_person","id_org","id_stage","title","value","add_time","update_time","stage_change_time","deleted","status","next_activity_date","next_activity_time","id_next_activity","id_last_activity","last_activity_date","lost_reason","id_pipeline","won_time","first_won_time","lost_time","notes_count","activities_count","done_activities_count","undone_activities_count","participants_count","id_label","id_lead_origin","next_activity_subject","next_activity_type","rotten_time","owner_name","id_segmentation","id_last_professional","start_of_service","due_date","average_time_to_won_total_seconds","average_stage_progress","age_total_seconds","stay_in_pipeline_stages_first_meeting","stay_in_pipeline_stages_whoqol","stay_in_pipeline_stages_healthcare_journey","stay_in_pipeline_stages_welcome","stay_in_pipeline_stages_lead","stay_in_pipeline_stages_prospect","stay_in_pipeline_stages_qualified_lead","stay_in_pipeline_stages_qualification_scheduled","stay_in_pipeline_stages_sdr_ae","stay_in_pipeline_stages_proposal_scheduled","stay_in_pipeline_stages_proposal_done","stay_in_pipeline_stages_onboarding_scheduled","stay_in_pipeline_stages_return_received","update_date"
3160,"Pré-Vendas B2B",2928,1697,"30","Negócio Pris","0.00","2022-06-27 21:06:46","2022-07-31 18:36:22","2022-06-27 21:06:59","false","lost",NULL,NULL,NULL,"9154","2022-07-14","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,NULL,"2022-07-31 18:36:22",1,5,5,0,1,NULL,"301",NULL,NULL,NULL,"Giordano Souza","369",NULL,NULL,NULL,0,0,2928576,NULL,NULL,NULL,NULL,"2928563",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:05:17.031"
3481,"Pré-Vendas B2B",3197,1795,"50","Ap Interactive","0.00","2022-08-16 19:54:48","2022-10-14 12:44:04",NULL,"false","lost","2023-01-09",NULL,"11050","10407","2022-08-30","Não tem orçamento disponível no momento","7",NULL,NULL,"2022-09-01 19:16:48",1,3,2,1,1,NULL,"9","Prazo","deadline",NULL,"Giordano Souza","398",NULL,NULL,NULL,0,0,1380120,NULL,NULL,NULL,NULL,"0",NULL,NULL,"1380119",NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:05:18.614"
1588,"Pré-Vendas B2B",2284,1929,"31","MobiCare","0.00","2022-03-02 19:09:08","2022-12-13 11:27:04","2022-03-08 14:30:32","false","lost","2022-12-19",NULL,"14357","14355","2022-12-29","Empresa não está no momento de cotação de novos benefícios","7",NULL,NULL,"2022-03-08 14:44:15",1,10,9,1,1,NULL,"9","T4","linkedin",NULL,"Giordano Souza","253",NULL,NULL,NULL,0,0,502507,NULL,NULL,NULL,NULL,"0",NULL,"822","10542",NULL,NULL,NULL,NULL,NULL,"2022-12-14 05:00:06.494"
4033,"Pré-Vendas B2B",3558,1930,"50","Musa","0.00","2022-12-13 13:58:10","2022-12-13 14:04:03","2022-12-13 13:58:14","false","open","2022-12-15","13:00:00","14472",NULL,NULL,NULL,"7",NULL,NULL,NULL,0,1,0,1,1,NULL,"301","Giordano / Leandro","meeting",NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,64917,NULL,NULL,NULL,NULL,"0",NULL,NULL,"64913",NULL,NULL,NULL,NULL,NULL,"2022-12-14 05:00:07.324"
1844,"Pré-Vendas B2B",2534,1516,"29","Negócio BRID Soluções","0.00","2022-03-24 10:30:25","2022-12-01 19:53:38",NULL,"false","lost","2022-12-06",NULL,"6164","5662","2022-04-01","Empresa não está no momento de cotação de novos benefícios","7",NULL,NULL,"2022-04-08 15:40:49",1,5,4,1,1,NULL,"9","Retorno de contato","deadline",NULL,"Giordano Souza","308",NULL,NULL,NULL,0,0,1314624,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-12-02 05:00:04.967"
973,"Pré-Vendas B2B",899,881,"29","MOVTI Cloud Solutions","0.00","2021-11-23 13:39:02","2022-12-01 19:54:37",NULL,"false","open","2022-12-06",NULL,"8255","3178","2022-06-06",NULL,"7",NULL,NULL,NULL,0,7,6,1,1,NULL,"11","E-mail","email",NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,32293263,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-12-02 05:00:05.689"
3775,"Pré-Vendas B2B",3406,1880,"32","Momentum","0.00","2022-10-24 16:29:21","2022-12-01 15:02:16","2022-10-27 20:46:17","false","open","2022-12-06",NULL,"13982","13856","2022-11-28",NULL,"7",NULL,NULL,NULL,2,12,11,1,1,NULL,"65","T8","whatsapp",NULL,"Giordano Souza","245",NULL,NULL,NULL,0,0,3339045,NULL,NULL,NULL,NULL,"0",NULL,"0","0",NULL,"3064428",NULL,NULL,NULL,"2022-12-02 05:00:06.203"
3940,"Pré-Vendas B2B",3505,1905,"29","Lead Homepage Gabrielli Gomes","0.00","2022-11-21 14:47:06","2022-11-21 14:47:06",NULL,"false","open",NULL,NULL,NULL,NULL,NULL,NULL,"7",NULL,NULL,NULL,0,0,0,0,1,NULL,"65",NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,61982,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-22 05:00:08.112"
3996,"Pré-Vendas B2B",3536,1914,"29","Loomy","0.00","2022-11-29 18:22:51","2022-12-05 14:32:25",NULL,"false","open","2022-12-08",NULL,"14166","14074","2022-12-05",NULL,"7",NULL,NULL,NULL,0,3,2,1,1,NULL,"301","T3","email",NULL,"Giordano Souza","457",NULL,NULL,NULL,0,0,567435,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-12-06 05:00:06.775"
3950,"Pré-Vendas B2B",3513,1908,"30","Doc4Doc","0.00","2022-11-22 19:37:45","2022-12-05 17:34:20","2022-11-22 20:03:22","false","open","2022-12-06",NULL,"13754","13753","2022-11-22",NULL,"7",NULL,NULL,NULL,0,2,1,1,1,NULL,"232","T2","deadline",NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,1167741,NULL,NULL,NULL,NULL,"1166204",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-12-06 05:00:07.128"
3797,"Pré-Vendas B2B",3423,1889,"31","WA project","0.00","2022-10-28 13:47:47","2022-12-05 17:35:16","2022-11-01 20:38:55","false","open","2022-12-06",NULL,"13094","13095","2022-11-23",NULL,"7",NULL,NULL,NULL,1,5,4,1,1,NULL,"9","Ligar","call",NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,3348740,NULL,NULL,NULL,NULL,"259648",NULL,"2978472","110620",NULL,NULL,NULL,NULL,NULL,"2022-12-06 05:00:07.386"
3551,"Pré-Vendas B2B",3256,1829,"31","Negócio G7 Gráfica","0.00","2022-09-01 16:03:41","2022-09-13 18:37:18",NULL,"false","lost",NULL,NULL,NULL,"11173","2022-09-06","Não é prioridade da empresa oferecer benefício de saúde","7",NULL,NULL,"2022-09-13 18:37:13",2,1,1,0,1,NULL,NULL,NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,1046012,NULL,NULL,NULL,NULL,"0",NULL,"1046011","0",NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:05:17.457"
3137,"Pré-Vendas B2B",2903,1684,"30","Negócio BCMED","0.00","2022-06-15 19:39:24","2022-10-25 19:54:28",NULL,"false","lost",NULL,NULL,NULL,"9049","2022-10-10","Não é prioridade da empresa oferecer benefício de saúde","7",NULL,NULL,"2022-06-28 18:28:08",0,4,4,0,1,NULL,"9",NULL,NULL,NULL,"Giordano Souza","378",NULL,NULL,NULL,0,0,1118924,NULL,NULL,NULL,NULL,"1118924",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:05:21.751"
1347,"Pré-Vendas B2B",2179,1375,"29","Niteo","0.00","2022-01-28 14:45:21","2022-02-18 12:03:14",NULL,"false","lost",NULL,NULL,NULL,"4170","2022-02-17","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,NULL,"2022-02-17 18:34:04",0,6,6,0,1,NULL,"9",NULL,NULL,NULL,"Giordano Souza","240",NULL,NULL,NULL,0,0,1741723,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:31.978"
1339,"Pré-Vendas B2B",2196,1388,"29","JDC","0.00","2022-01-27 15:01:37","2022-03-07 19:00:54",NULL,"false","lost",NULL,NULL,NULL,"3840","2022-02-28","Email adicionado na sequencia da Apollo","7",NULL,NULL,"2022-03-07 19:00:46",1,1,1,0,1,NULL,"9",NULL,NULL,NULL,"Giordano Souza","253",NULL,NULL,NULL,0,0,3383949,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:37.119"
487,"Pré-Vendas B2B",1146,974,"30","iSURE Consultoria e Seguros®","0.00","2021-07-29 14:36:34","2022-01-01 04:32:58","2021-09-14 16:56:53","false","lost",NULL,NULL,NULL,"2167","2021-09-24","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,NULL,"2021-09-24 14:06:25",3,4,4,0,1,NULL,NULL,NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,4922991,NULL,NULL,NULL,NULL,"853772",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:39.071"
486,"Pré-Vendas B2B",1145,973,"30","SoftExpert - Software for Excellence","0.00","2021-07-29 14:35:33","2022-01-01 04:32:57","2021-09-14 16:56:53","false","lost",NULL,NULL,NULL,"2207","2021-09-24","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,NULL,"2021-09-24 14:04:15",6,4,4,0,1,NULL,NULL,NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,4922922,NULL,NULL,NULL,NULL,"853642",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:40.567"
3306,"Pré-Vendas B2B",3089,1768,"45","SoluArq","0.00","2022-08-01 17:30:54","2022-10-14 12:43:32","2022-08-22 20:53:30","false","lost","2023-01-09",NULL,"10860","10542","2022-08-23","Não tem orçamento disponível no momento","7",NULL,NULL,"2022-08-26 18:09:59",2,7,6,1,1,NULL,"65","E-mail","email",NULL,"Giordano Souza","245",NULL,NULL,NULL,0,0,2162345,NULL,NULL,NULL,NULL,"148669",NULL,"596434","108166","335789","973286",NULL,NULL,NULL,"2022-11-08 00:09:41.321"
482,"Pré-Vendas B2B",1101,969,"30","ALFA Sistemas de Gestão","0.00","2021-07-27 15:41:19","2021-11-03 16:59:45","2021-09-14 16:56:53","false","lost",NULL,NULL,NULL,"2010","2021-09-10","Empresa tem corretora de seguros fixa","7",NULL,NULL,"2021-09-10 14:39:58",5,2,2,0,1,NULL,NULL,NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,3884319,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:43.254"
1282,"Pré-Vendas B2B",2125,899,"29","Kolekto","0.00","2022-01-18 12:30:05","2022-03-08 20:04:19",NULL,"false","lost",NULL,NULL,NULL,"4360","2022-02-23","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,NULL,"2022-03-08 20:03:44",0,2,2,0,1,NULL,"9",NULL,NULL,NULL,"Giordano Souza","253",NULL,NULL,NULL,0,0,4260819,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:44.027"
1193,"Pré-Vendas B2B",2031,1338,"29","Polem.me","0.00","2022-01-05 17:03:54","2022-01-20 16:49:24",NULL,"false","lost",NULL,NULL,NULL,"3645","2022-01-20","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,"2022-01-20 16:49:09","2022-01-20 16:49:24",2,3,3,0,2,NULL,"9",NULL,NULL,NULL,"Giordano Souza","240",NULL,NULL,NULL,0,0,1295130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:53.004"
456,"Pré-Vendas B2B",1074,948,"30","Truckvan","0.00","2021-07-14 00:28:19","2021-11-03 16:59:01","2021-09-14 16:56:52","false","lost",NULL,NULL,NULL,"2068","2021-09-16","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,NULL,"2021-09-16 18:32:29",5,3,3,0,1,NULL,NULL,NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,5594650,NULL,NULL,NULL,NULL,"178536",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:54.59"
453,"Pré-Vendas B2B",1071,945,"30","SERCOMPE Business Tecnology","0.00","2021-07-14 00:20:01","2021-11-03 17:00:18","2021-09-14 16:56:52","false","lost",NULL,NULL,NULL,"2103","2021-09-17","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,NULL,"2021-09-17 11:09:24",4,5,5,0,1,NULL,NULL,NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,5654963,NULL,NULL,NULL,NULL,"238351",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:56.911"
1108,"Pré-Vendas B2B",1954,1317,"29","Yapoli","0.00","2021-12-10 16:34:16","2022-01-19 20:22:17",NULL,"false","lost",NULL,NULL,NULL,"3521","2022-01-19","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,NULL,"2022-01-19 17:43:03",0,5,5,0,1,NULL,"9",NULL,NULL,NULL,"Giordano Souza","240",NULL,NULL,NULL,0,0,3460127,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:57.69"
1106,"Pré-Vendas B2B",1952,1315,"29","Iterative;","0.00","2021-12-10 16:29:02","2022-02-18 13:42:28",NULL,"false","lost",NULL,NULL,NULL,"4190","2022-02-14","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,NULL,"2022-02-18 13:42:28",1,7,7,0,2,NULL,"9",NULL,NULL,NULL,"Giordano Souza","240",NULL,NULL,NULL,0,0,6038006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:58.853"
3342,"Pré-Vendas B2B",3107,1769,"31","Negócio Flix","0.00","2022-08-01 20:38:02","2022-10-24 14:38:39","2022-08-03 16:26:09","false","lost","2023-01-09",NULL,"12770","12576","2022-10-20","Não é prioridade da empresa oferecer benefício de saúde","7",NULL,NULL,"2022-10-24 14:38:25",2,9,8,1,1,NULL,"301","Prazo","deadline",NULL,"Giordano Souza","386",NULL,NULL,NULL,0,0,7236023,NULL,NULL,NULL,NULL,"137444",NULL,"7078336","20242",NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:10:01.803"
3964,"Pré-Vendas B2B",3522,1912,"29","Lead Homepage anahealth.app","0.00","2022-11-24 06:54:06","2022-11-24 06:54:07",NULL,"false","open",NULL,NULL,NULL,NULL,NULL,NULL,"7",NULL,NULL,NULL,0,0,0,0,1,NULL,"65",NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,90358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-25 05:00:05.083"
3849,"Pré-Vendas B2B",3454,1898,"29","Lead Homepage Simone Alessandra Mendes Tavares","0.00","2022-11-07 18:35:01","2022-11-07 18:35:02",NULL,"false","open",NULL,NULL,NULL,NULL,NULL,NULL,"7",NULL,NULL,NULL,0,0,0,0,1,NULL,"65",NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,48304,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 05:00:05.711"
1100,"Pré-Vendas B2B",1944,1309,"30","NovaRed Brasil","0.00","2021-12-09 20:44:02","2022-11-07 20:15:46","2022-01-18 12:20:23","false","lost",NULL,NULL,NULL,"3628","2022-06-06","Não é prioridade da empresa oferecer benefício de saúde","7",NULL,NULL,"2022-06-13 17:28:40",1,5,5,0,1,NULL,"9",NULL,NULL,NULL,"Giordano Souza","240",NULL,NULL,NULL,0,0,16058678,NULL,NULL,NULL,NULL,"12632897",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 05:00:06.062"
500,"Pré-Vendas B2B",1161,984,"30","runrun.it","0.00","2021-08-03 11:29:30","2021-11-03 17:00:09","2021-09-14 16:56:53","false","lost",NULL,NULL,NULL,"2069","2021-09-15","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,NULL,"2021-09-15 14:53:11",2,4,4,0,1,NULL,NULL,NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,3727421,NULL,NULL,NULL,NULL,"78978",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:32.359"
600,"Pré-Vendas B2B",1380,1109,"45","Rocketmat","0.00","2021-08-26 12:12:20","2022-01-01 04:32:33","2021-09-15 11:57:25","false","lost",NULL,NULL,NULL,"2221","2021-09-23","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,NULL,"2021-09-23 13:46:39",5,3,3,0,1,NULL,NULL,NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,2424859,NULL,NULL,NULL,NULL,"75067",NULL,"10943",NULL,"697754","1285619",NULL,NULL,NULL,"2022-11-08 00:09:33.128"
491,"Pré-Vendas B2B",946,911,"30","Eyecare Health","0.00","2021-07-29 18:55:43","2022-07-11 20:35:26","2021-09-14 16:56:53","false","lost",NULL,NULL,NULL,"3712","2022-07-04","Empresa não está no momento de cotação de novos benefícios","7",NULL,NULL,"2021-10-06 18:25:39",2,6,6,0,1,NULL,NULL,NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,5959796,NULL,NULL,NULL,NULL,"1906126",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:35.959"
545,"Pré-Vendas B2B",1562,1025,"45","Evo","0.00","2021-08-23 21:13:46","2021-11-03 17:00:40","2021-10-13 13:46:26","false","lost",NULL,NULL,NULL,"2484","2021-10-13","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,NULL,"2021-10-13 18:39:02",6,7,7,0,1,NULL,"11",NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,4397116,NULL,NULL,NULL,NULL,"1711580",NULL,"6",NULL,"17556","782583",NULL,NULL,NULL,"2022-11-08 00:09:36.71"
490,"Pré-Vendas B2B",572,408,"30","Oficina 5 (MRR R$ 0)","0.00","2021-07-29 18:39:41","2021-09-24 14:41:52","2021-09-14 16:56:53","false","lost",NULL,NULL,NULL,"1495","2021-08-04","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,NULL,"2021-08-04 13:28:05",2,4,4,0,1,NULL,NULL,NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,499704,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:37.487"
1336,"Pré-Vendas B2B",2192,1384,"29","Rappi","0.00","2022-01-27 14:12:43","2022-02-09 12:00:09",NULL,"false","lost",NULL,NULL,NULL,"3992","2022-02-08","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,"2022-02-08 14:57:59","2022-02-08 14:58:06",1,4,4,0,2,NULL,"9",NULL,NULL,NULL,"Giordano Souza","240",NULL,NULL,NULL,0,0,1039523,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:38.67"
3363,"Pré-Vendas B2B",3119,1771,"45","Teltex","0.00","2022-08-02 18:37:50","2022-08-16 19:47:29","2022-08-12 17:21:44","false","lost","2023-01-09",NULL,"10405","10194","2022-08-11","Não tem orçamento disponível no momento","7",NULL,NULL,"2022-08-16 19:46:59",2,3,2,1,1,NULL,"9","LinkedIn","linkedin",NULL,"Giordano Souza","398",NULL,NULL,NULL,0,0,1213749,NULL,NULL,NULL,NULL,"762869",NULL,"0","81129","354315","15436",NULL,NULL,NULL,"2022-11-08 00:09:39.805"
349,"Pré-Vendas B2B",854,842,"31","Onclicksistemas.com","0.00","2021-05-27 13:44:34","2021-09-14 17:03:07","2021-09-14 17:03:07","false","lost",NULL,NULL,NULL,"1160","2021-07-19","Não é prioridade da empresa oferecer benefício de saúde","7",NULL,NULL,"2021-07-20 17:42:17",1,5,5,0,1,"58",NULL,NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,4679863,NULL,NULL,NULL,NULL,"0",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:09:32.732"
